Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Brand
Peugeot 504 (1970),25,4,110,87,2672,17.5,1970,Europe,Peugeot
Audi 100 Ls,24,4,107,90,2430,14.5,1970,Europe,Audi
Saab 99E,25,4,104,95,2375,17.5,1970,Europe,Saab
Bmw 2002,26,4,121,113,2234,12.5,1970,Europe,Bmw
Amc Gremlin (1970),21,6,199,90,2648,15,1970,USA,Amc
Ford F250,10,8,360,215,4615,14,1970,USA,Ford
Chevy C20,10,8,307,200,4376,15,1970,USA,Chevy
Dodge D200,11,8,318,210,4382,13.5,1970,USA,Dodge
Hi 1200D,9,8,304,193,4732,18.5,1970,USA,Hi
Datsun Pl510 (1971),27,4,97,88,2130,14.5,1971,Japan,Datsun
Chevrolet Vega 2300,28,4,140,90,2264,15.5,1971,USA,Chevrolet
Toyota Corona (1971),25,4,113,95,2228,14,1971,Japan,Toyota
Ford Pinto (1971),25,4,98,,2046,19,1971,USA,Ford
Volkswagen Super Beetle 117,,4,97,48,1978,20,1971,Europe,Volkswagen
Amc Gremlin (1971),19,6,232,100,2634,13,1971,USA,Amc
Plymouth Satellite Custom,16,6,225,105,3439,15.5,1971,USA,Plymouth
Chevrolet Chevelle Malibu (1971),17,6,250,100,3329,15.5,1971,USA,Chevrolet
Ford Torino 500,19,6,250,88,3302,15.5,1971,USA,Ford
Amc Matador (1971),18,6,232,100,3288,15.5,1971,USA,Amc
Chevrolet Impala (1971),14,8,350,165,4209,12,1971,USA,Chevrolet
Pontiac Catalina Brougham,14,8,400,175,4464,11.5,1971,USA,Pontiac
Ford Galaxie 500 (1971),14,8,351,153,4154,13.5,1971,USA,Ford
Plymouth Fury Iii (1971),14,8,318,150,4096,13,1971,USA,Plymouth
Dodge Monaco (Sw),12,8,383,180,4955,11.5,1971,USA,Dodge
Ford Country Squire (Sw) (1971),13,8,400,170,4746,12,1971,USA,Ford
Pontiac Safari (Sw),13,8,400,175,5140,12,1971,USA,Pontiac
Amc Hornet Sportabout (Sw),18,6,258,110,2962,13.5,1971,USA,Amc
Chevrolet Vega (Sw),22,4,140,72,2408,19,1971,USA,Chevrolet
Pontiac Firebird,19,6,250,100,3282,15,1971,USA,Pontiac
Ford Mustang,18,6,250,88,3139,14.5,1971,USA,Ford
Mercury Capri 2000,23,4,122,86,2220,14,1971,USA,Mercury
Opel 1900 (1971),28,4,116,90,2123,14,1971,Europe,Opel
Peugeot 304,30,4,79,70,2074,19.5,1971,Europe,Peugeot
Fiat 124B,30,4,88,76,2065,14.5,1971,Europe,Fiat
Toyota Corolla 1200 (1971),31,4,71,65,1773,19,1971,Japan,Toyota
Datsun 1200,35,4,72,69,1613,18,1971,Japan,Datsun
Volkswagen Model 111,27,4,97,60,1834,19,1971,Europe,Volkswagen
Plymouth Cricket,26,4,91,70,1955,20.5,1971,USA,Plymouth
Toyota Corona Hardtop,24,4,113,95,2278,15.5,1972,Japan,Toyota
Dodge Colt Hardtop,25,4,97.5,80,2126,17,1972,USA,Dodge
Volkswagen Type 3,23,4,97,54,2254,23.5,1972,Europe,Volkswagen
Chevrolet Vega (1972),20,4,140,90,2408,19.5,1972,USA,Chevrolet
Ford Pinto Runabout,21,4,122,86,2226,16.5,1972,USA,Ford
Chevrolet Impala (1972),13,8,350,165,4274,12,1972,USA,Chevrolet
Pontiac Catalina (1972),14,8,400,175,4385,12,1972,USA,Pontiac
Plymouth Fury Iii (1972),15,8,318,150,4135,13.5,1972,USA,Plymouth
Ford Galaxie 500 (1972),14,8,351,153,4129,13,1972,USA,Ford
Amc Ambassador Sst,17,8,304,150,3672,11.5,1972,USA,Amc
Mercury Marquis,11,8,429,208,4633,11,1972,USA,Mercury
Buick Lesabre Custom,13,8,350,155,4502,13.5,1972,USA,Buick
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,1972,USA,Oldsmobile
Chrysler Newport Royal,13,8,400,190,4422,12.5,1972,USA,Chrysler
Mazda Rx2 Coupe,19,3,70,97,2330,13.5,1972,Japan,Mazda
Amc Matador (Sw) (1972),15,8,304,150,3892,12.5,1972,USA,Amc
Chevrolet Chevelle Concours (Sw) (1972),13,8,307,130,4098,14,1972,USA,Chevrolet
Ford Gran Torino (Sw) (1972),13,8,302,140,4294,16,1972,USA,Ford
Plymouth Satellite Custom (Sw),14,8,318,150,4077,14,1972,USA,Plymouth
Volvo 145E (Sw),18,4,121,112,2933,14.5,1972,Europe,Volvo
Volkswagen 411 (Sw),22,4,121,76,2511,18,1972,Europe,Volkswagen
Peugeot 504 (Sw),21,4,120,87,2979,19.5,1972,Europe,Peugeot
Renault 12 (Sw),26,4,96,69,2189,18,1972,Europe,Renault
Ford Pinto (Sw),22,4,122,86,2395,16,1972,USA,Ford
Datsun 510 (Sw),28,4,97,92,2288,17,1972,Japan,Datsun
Toyota Corona Mark Ii (Sw),23,4,120,97,2506,14.5,1972,Japan,Toyota
Dodge Colt (Sw),28,4,98,80,2164,15,1972,USA,Dodge
Toyota Corolla 1600 (Sw),27,4,97,88,2100,16.5,1972,Japan,Toyota
Buick Century 350,13,8,350,175,4100,13,1973,USA,Buick
Amc Matador (1973),14,8,304,150,3672,11.5,1973,USA,Amc
Chevrolet Malibu (1973),13,8,350,145,3988,13,1973,USA,Chevrolet
Ford Gran Torino (1973),14,8,302,137,4042,14.5,1973,USA,Ford
Dodge Coronet Custom,15,8,318,150,3777,12.5,1973,USA,Dodge
Mercury Marquis Brougham,12,8,429,198,4952,11.5,1973,USA,Mercury
Chevrolet Caprice Classic (1973),13,8,400,150,4464,12,1973,USA,Chevrolet
Ford Ltd (1973),13,8,351,158,4363,13,1973,USA,Ford
Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,1973,USA,Plymouth
Chrysler New Yorker Brougham,13,8,440,215,4735,11,1973,USA,Chrysler
Buick Electra 225 Custom,12,8,455,225,4951,11,1973,USA,Buick
Amc Ambassador Brougham,13,8,360,175,3821,11,1973,USA,Amc
Plymouth Valiant (1973),18,6,225,105,3121,16.5,1973,USA,Plymouth
Chevrolet Nova Custom,16,6,250,100,3278,18,1973,USA,Chevrolet
Amc Hornet (1973),18,6,232,100,2945,16,1973,USA,Amc
Ford Maverick (1973),18,6,250,88,3021,16.5,1973,USA,Ford
Plymouth Duster (1973),23,6,198,95,2904,16,1973,USA,Plymouth
Volkswagen Super Beetle,26,4,97,46,1950,21,1973,Europe,Volkswagen
Chevrolet Impala (1973),11,8,400,150,4997,14,1973,USA,Chevrolet
Ford Country,12,8,400,167,4906,12.5,1973,USA,Ford
Plymouth Custom Suburb,13,8,360,170,4654,13,1973,USA,Plymouth
Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,1973,USA,Oldsmobile
Amc Gremlin (1973),18,6,232,100,2789,15,1973,USA,Amc
Toyota Carina,20,4,97,88,2279,19,1973,Japan,Toyota
Chevrolet Vega (1973),21,4,140,72,2401,19.5,1973,USA,Chevrolet
Datsun 610,22,4,108,94,2379,16.5,1973,Japan,Datsun
Maxda Rx3,18,3,70,90,2124,13.5,1973,Japan,Maxda
Ford Pinto (1973),19,4,122,85,2310,18.5,1973,USA,Ford
Mercury Capri V6,21,6,155,107,2472,14,1973,USA,Mercury
Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,1973,Europe,Fiat
Chevrolet Monte Carlo S,15,8,350,145,4082,13,1973,USA,Chevrolet
Pontiac Grand Prix,16,8,400,230,4278,9.5,1973,USA,Pontiac
Fiat 128 (1973),29,4,68,49,1867,19.5,1973,Europe,Fiat
Opel Manta (1973),24,4,116,75,2158,15.5,1973,Europe,Opel
Audi 100Ls (1973),20,4,114,91,2582,14,1973,Europe,Audi
Volvo 144Ea,19,4,121,112,2868,15.5,1973,Europe,Volvo
Dodge Dart Custom,15,8,318,150,3399,11,1973,USA,Dodge
Saab 99Le (1973),24,4,121,110,2660,14,1973,Europe,Saab
Toyota Mark Ii (1973),20,6,156,122,2807,13.5,1973,Japan,Toyota
Oldsmobile Omega,11,8,350,180,3664,11,1973,USA,Oldsmobile
Plymouth Duster (1974),20,6,198,95,3102,16.5,1974,USA,Plymouth
Ford Maverick (1974),21,6,200,,2875,17,1974,USA,Ford
Amc Hornet (1974),19,6,232,100,2901,16,1974,USA,Amc
Chevrolet Nova (1974),15,6,250,100,3336,17,1974,USA,Chevrolet
Datsun B210,31,4,79,67,1950,19,1974,Japan,Datsun
Ford Pinto (1974),26,4,122,80,2451,16.5,1974,USA,Ford
Toyota Corolla 1200 (1974),32,4,71,65,1836,21,1974,Japan,Toyota
Chevrolet Vega (1974),25,4,140,75,2542,17,1974,USA,Chevrolet
Chevrolet Chevelle Malibu Classic (1974),16,6,250,100,3781,17,1974,USA,Chevrolet
Amc Matador (1974),16,6,258,110,3632,18,1974,USA,Amc
Plymouth Satellite Sebring,18,6,225,105,3613,16.5,1974,USA,Plymouth
Ford Gran Torino (1974),16,8,302,140,4141,14,1974,USA,Ford
Buick Century Luxus (Sw),13,8,350,150,4699,14.5,1974,USA,Buick
Dodge Coronet Custom (Sw),14,8,318,150,4457,13.5,1974,USA,Dodge
Ford Gran Torino (Sw) (1974),14,8,302,140,4638,16,1974,USA,Ford
Amc Matador (Sw) (1974),14,8,304,150,4257,15.5,1974,USA,Amc
Audi Fox,29,4,98,83,2219,16.5,1974,Europe,Audi
Volkswagen Dasher (1974),26,4,79,67,1963,15.5,1974,Europe,Volkswagen
Opel Manta (1974),26,4,97,78,2300,14.5,1974,Europe,Opel
Toyota Corona (1974),31,4,76,52,1649,16.5,1974,Japan,Toyota
Datsun 710 (1974),32,4,83,61,2003,19,1974,Japan,Datsun
Dodge Colt (1974),28,4,90,75,2125,14.5,1974,USA,Dodge
Fiat 128 (1974),24,4,90,75,2108,15.5,1974,Europe,Fiat
Fiat 124 Tc,26,4,116,75,2246,14,1974,Europe,Fiat
Honda Civic (1974),24,4,120,97,2489,15,1974,Japan,Honda
Subaru (1974),26,4,108,93,2391,15.5,1974,Japan,Subaru
Fiat X1.9,31,4,79,67,2000,16,1974,Europe,Fiat
Plymouth Valiant Custom,19,6,225,95,3264,16,1975,USA,Plymouth
Chevrolet Nova (1975),18,6,250,105,3459,16,1975,USA,Chevrolet
Mercury Monarch,15,6,250,72,3432,21,1975,USA,Mercury
Ford Maverick (1975),15,6,250,72,3158,19.5,1975,USA,Ford
Pontiac Catalina (1975),16,8,400,170,4668,11.5,1975,USA,Pontiac
Chevrolet Bel Air,15,8,350,145,4440,14,1975,USA,Chevrolet
Plymouth Grand Fury,16,8,318,150,4498,14.5,1975,USA,Plymouth
Ford Ltd (1975),14,8,351,148,4657,13.5,1975,USA,Ford
Buick Century (1975),17,6,231,110,3907,21,1975,USA,Buick
Chevroelt Chevelle Malibu,16,6,250,105,3897,18.5,1975,USA,Chevroelt
Amc Matador (1975),15,6,258,110,3730,19,1975,USA,Amc
Plymouth Fury,18,6,225,95,3785,19,1975,USA,Plymouth
Buick Skyhawk,21,6,231,110,3039,15,1975,USA,Buick
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,1975,USA,Chevrolet
Ford Mustang Ii,13,8,302,129,3169,12,1975,USA,Ford
Toyota Corolla (1975),29,4,97,75,2171,16,1975,Japan,Toyota
Amc Gremlin (1975),20,6,232,100,2914,16,1975,USA,Amc
Pontiac Astro,23,4,140,78,2592,18.5,1975,USA,Pontiac
Toyota Corona (1975),24,4,134,96,2702,13.5,1975,Japan,Toyota
Volkswagen Dasher (1975),25,4,90,71,2223,16.5,1975,Europe,Volkswagen
Datsun 710 (1975),24,4,119,97,2545,17,1975,Japan,Datsun
Ford Pinto (1975),18,6,171,97,2984,14.5,1975,USA,Ford
Volkswagen Rabbit (1975),29,4,90,70,1937,14,1975,Europe,Volkswagen
Amc Pacer,19,6,232,90,3211,17,1975,USA,Amc
Audi 100Ls (1975),23,4,115,95,2694,15,1975,Europe,Audi
Peugeot 504 (1975),23,4,120,88,2957,17,1975,Europe,Peugeot
Volvo 244Dl,22,4,121,98,2945,14.5,1975,Europe,Volvo
Saab 99Le (1975),25,4,121,115,2671,13.5,1975,Europe,Saab
Honda Civic Cvcc (1975),33,4,91,53,1795,17.5,1975,Japan,Honda
Fiat 131,28,4,107,86,2464,15.5,1976,Europe,Fiat
Opel 1900 (1976),25,4,116,81,2220,16.9,1976,Europe,Opel
Capri Ii,25,4,140,92,2572,14.9,1976,USA,Capri
Dodge Colt (1976),26,4,98,79,2255,17.7,1976,USA,Dodge
Renault 12Tl,27,4,101,83,2202,15.3,1976,Europe,Renault
Chevrolet Chevelle Malibu Classic (1976),17.5,8,305,140,4215,13,1976,USA,Chevrolet
Dodge Coronet Brougham,16,8,318,150,4190,13,1976,USA,Dodge
Amc Matador (1976),15.5,8,304,120,3962,13.9,1976,USA,Amc
Ford Gran Torino (1976),14.5,8,351,152,4215,12.8,1976,USA,Ford
Plymouth Valiant (1976),22,6,225,100,3233,15.4,1976,USA,Plymouth
Chevrolet Nova (1976),22,6,250,105,3353,14.5,1976,USA,Chevrolet
Ford Maverick (1976),24,6,200,81,3012,17.6,1976,USA,Ford
Amc Hornet (1976),22.5,6,232,90,3085,17.6,1976,USA,Amc
Chevrolet Chevette (1976),29,4,85,52,2035,22.2,1976,USA,Chevrolet
Chevrolet Woody,24.5,4,98,60,2164,22.1,1976,USA,Chevrolet
Volkswagen Rabbit (1976),29,4,90,70,1937,14.2,1976,Europe,Volkswagen
Honda Civic (1976),33,4,91,53,1795,17.4,1976,Japan,Honda
Dodge Aspen Se,20,6,225,100,3651,17.7,1976,USA,Dodge
Ford Granada Ghia,18,6,250,78,3574,21,1976,USA,Ford
Pontiac Ventura Sj,18.5,6,250,110,3645,16.2,1976,USA,Pontiac
Amc Pacer D/L,17.5,6,258,95,3193,17.8,1976,USA,Amc
Volkswagen Rabbit (1976),29.5,4,97,71,1825,12.2,1976,Europe,Volkswagen
Datsun B-210,32,4,85,70,1990,17,1976,Japan,Datsun
Toyota Corolla (1976),28,4,97,75,2155,16.4,1976,Japan,Toyota
Ford Pinto (1976),26.5,4,140,72,2565,13.6,1976,USA,Ford
Volvo 245,20,4,130,102,3150,15.7,1976,Europe,Volvo
Plymouth Volare Premier V8,13,8,318,150,3940,13.2,1976,USA,Plymouth
Peugeot 504 (1976),19,4,120,88,3270,21.9,1976,Europe,Peugeot
Toyota Mark Ii (1976),19,6,156,108,2930,15.5,1976,Japan,Toyota
Mercedes-Benz 280S,16.5,6,168,120,3820,16.7,1976,Europe,Mercedes-Benz
Cadillac Seville,16.5,8,350,180,4380,12.1,1976,USA,Cadillac
Chevy C10,13,8,350,145,4055,12,1976,USA,Chevy
Ford F108,13,8,302,130,3870,15,1976,USA,Ford
Dodge D100,13,8,318,150,3755,14,1976,USA,Dodge
Honda Accelerationord Cvcc,31.5,4,98,68,2045,18.5,1977,Japan,Honda
Buick Opel Isuzu Deluxe,30,4,111,80,2155,14.8,1977,USA,Buick
Renault 5 Gtl,36,4,79,58,1825,18.6,1977,Europe,Renault
Plymouth Arrow Gs,25.5,4,122,96,2300,15.5,1977,USA,Plymouth
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,1977,Japan,Datsun
Chevrolet Caprice Classic (1977),17.5,8,305,145,3880,12.5,1977,USA,Chevrolet
Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,1977,USA,Oldsmobile
Dodge Monaco Brougham,15.5,8,318,145,4140,13.7,1977,USA,Dodge
Mercury Cougar Brougham,15,8,302,130,4295,14.9,1977,USA,Mercury
Chevrolet Concours,17.5,6,250,110,3520,16.4,1977,USA,Chevrolet
Buick Skylark (1977),20.5,6,231,105,3425,16.9,1977,USA,Buick
Plymouth Volare Custom,19,6,225,100,3630,17.7,1977,USA,Plymouth
Ford Granada,18.5,6,250,98,3525,19,1977,USA,Ford
Pontiac Grand Prix Lj,16,8,400,180,4220,11.1,1977,USA,Pontiac
Chevrolet Monte Carlo Landau (1977),15.5,8,350,170,4165,11.4,1977,USA,Chevrolet
Chrysler Cordoba,15.5,8,400,190,4325,12.2,1977,USA,Chrysler
Ford Thunderbird,16,8,351,149,4335,14.5,1977,USA,Ford
Volkswagen Rabbit Custom,29,4,97,78,1940,14.5,1977,Europe,Volkswagen
Pontiac Sunbird Coupe,24.5,4,151,88,2740,16,1977,USA,Pontiac
Toyota Corolla Liftback,26,4,97,75,2265,18.2,1977,Japan,Toyota
Ford Mustang Ii 2+2,25.5,4,140,89,2755,15.8,1977,USA,Ford
Chevrolet Chevette (1977),30.5,4,98,63,2051,17,1977,USA,Chevrolet
Dodge Colt M/M,33.5,4,98,83,2075,15.9,1977,USA,Dodge
Subaru Dl (1977),30,4,97,67,1985,16.4,1977,Japan,Subaru
Volkswagen Dasher (1977),30.5,4,97,78,2190,14.1,1977,Europe,Volkswagen
Datsun 810,22,6,146,97,2815,14.5,1977,Japan,Datsun
Bmw 320I,21.5,4,121,110,2600,12.8,1977,Europe,Bmw
Mazda Rx-4,21.5,3,80,110,2720,13.5,1977,Japan,Mazda
Volkswagen Rabbit Custom Diesel,43.1,4,90,48,1985,21.5,1978,Europe,Volkswagen
Ford Fiesta,36.1,4,98,66,1800,14.4,1978,USA,Ford
Mazda Glc Deluxe,32.8,4,78,52,1985,19.4,1978,Japan,Mazda
Datsun B210 Gx,39.4,4,85,70,2070,18.6,1978,Japan,Datsun
Honda Civic Cvcc (1978),36.1,4,91,60,1800,16.4,1978,Japan,Honda
Oldsmobile Cutlass Salon Brougham (1978),19.9,8,260,110,3365,15.5,1978,USA,Oldsmobile
Dodge Diplomat,19.4,8,318,140,3735,13.2,1978,USA,Dodge
Mercury Monarch Ghia,20.2,8,302,139,3570,12.8,1978,USA,Mercury
Pontiac Phoenix Lj,19.2,6,231,105,3535,19.2,1978,USA,Pontiac
Chevrolet Malibu (1978),20.5,6,200,95,3155,18.2,1978,USA,Chevrolet
Ford Fairmont (Auto),20.2,6,200,85,2965,15.8,1978,USA,Ford
Ford Fairmont (Man),25.1,4,140,88,2720,15.4,1978,USA,Ford
Plymouth Volare,20.5,6,225,100,3430,17.2,1978,USA,Plymouth
Amc Concord (1978),19.4,6,232,90,3210,17.2,1978,USA,Amc
Buick Century Special,20.6,6,231,105,3380,15.8,1978,USA,Buick
Mercury Zephyr,20.8,6,200,85,3070,16.7,1978,USA,Mercury
Dodge Aspen (1978),18.6,6,225,110,3620,18.7,1978,USA,Dodge
Amc Concord D/L,18.1,6,258,120,3410,15.1,1978,USA,Amc
Chevrolet Monte Carlo Landau (1978),19.2,8,305,145,3425,13.2,1978,USA,Chevrolet
Buick Regal Sport Coupe (Turbo),17.7,6,231,165,3445,13.4,1978,USA,Buick
Ford Futura,18.1,8,302,139,3205,11.2,1978,USA,Ford
Dodge Magnum Xe,17.5,8,318,140,4080,13.7,1978,USA,Dodge
Chevrolet Chevette (1978),30,4,98,68,2155,16.5,1978,USA,Chevrolet
Toyota Corona (1978),27.5,4,134,95,2560,14.2,1978,Japan,Toyota
Datsun 510,27.2,4,119,97,2300,14.7,1978,Japan,Datsun
Dodge Omni,30.9,4,105,75,2230,14.5,1978,USA,Dodge
Toyota Celica Gt Liftback,21.1,4,134,95,2515,14.8,1978,Japan,Toyota
Plymouth Sapporo,23.2,4,156,105,2745,16.7,1978,USA,Plymouth
Oldsmobile Starfire Sx,23.8,4,151,85,2855,17.6,1978,USA,Oldsmobile
Datsun 200-Sx,23.9,4,119,97,2405,14.9,1978,Japan,Datsun
Audi 5000,20.3,5,131,103,2830,15.9,1978,Europe,Audi
Volvo 264Gl,17,6,163,125,3140,13.6,1978,Europe,Volvo
Saab 99Gle,21.6,4,121,115,2795,15.7,1978,Europe,Saab
Peugeot 604Sl,16.2,6,163,133,3410,15.8,1978,Europe,Peugeot
Volkswagen Scirocco,31.5,4,89,71,1990,14.9,1978,Europe,Volkswagen
Honda Accelerationord Lx,29.5,4,98,68,2135,16.6,1978,Japan,Honda
Pontiac Lemans V6,21.5,6,231,115,3245,15.4,1979,USA,Pontiac
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,1979,USA,Mercury
Ford Fairmont 4,22.3,4,140,88,2890,17.3,1979,USA,Ford
Amc Concord Dl 6,20.2,6,232,90,3265,18.2,1979,USA,Amc
Dodge Aspen 6,20.6,6,225,110,3360,16.6,1979,USA,Dodge
Chevrolet Caprice Classic (1979),17,8,305,130,3840,15.4,1979,USA,Chevrolet
Ford Ltd Landau,17.6,8,302,129,3725,13.4,1979,USA,Ford
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,1979,USA,Mercury
Dodge St. Regis,18.2,8,318,135,3830,15.2,1979,USA,Dodge
Buick Estate Wagon (Sw) (1979),16.9,8,350,155,4360,14.9,1979,USA,Buick
Ford Country Squire (Sw) (1979),15.5,8,351,142,4054,14.3,1979,USA,Ford
Chevrolet Malibu Classic (Sw),19.2,8,267,125,3605,15,1979,USA,Chevrolet
Chrysler Lebaron Town @ Country (Sw),18.5,8,360,150,3940,13,1979,USA,Chrysler
Volkswagen Rabbit Custom,31.9,4,89,71,1925,14,1979,Europe,Volkswagen
Maxda Glc Deluxe,34.1,4,86,65,1975,15.2,1979,Japan,Maxda
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,1979,USA,Dodge
Amc Spirit Dl,27.4,4,121,80,2670,15,1979,USA,Amc
Mercedes Benz 300D,25.4,5,183,77,3530,20.1,1979,Europe,Mercedes
Cadillac Eldorado,23,8,350,125,3900,17.4,1979,USA,Cadillac
Peugeot 504 (1979),27.2,4,141,71,3190,24.8,1979,Europe,Peugeot
Oldsmobile Cutlass Salon Brougham (1979),23.9,8,260,90,3420,22.2,1979,USA,Oldsmobile
Plymouth Horizon,34.2,4,105,70,2200,13.2,1979,USA,Plymouth
Plymouth Horizon Tc3,34.5,4,105,70,2150,14.9,1979,USA,Plymouth
Datsun 210 (1979),31.8,4,85,65,2020,19.2,1979,Japan,Datsun
Fiat Strada Custom,37.3,4,91,69,2130,14.7,1979,Europe,Fiat
Buick Skylark Limited,28.4,4,151,90,2670,16,1979,USA,Buick
Chevrolet Citation (1979),28.8,6,173,115,2595,11.3,1979,USA,Chevrolet
Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,1979,USA,Oldsmobile
Pontiac Phoenix (1979),33.5,4,151,90,2556,13.2,1979,USA,Pontiac
Volkswagen Rabbit (1980),41.5,4,98,76,2144,14.7,1980,Europe,Volkswagen
Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,1980,Japan,Toyota
Chevrolet Chevette (1980),32.1,4,98,70,2120,15.5,1980,USA,Chevrolet
Datsun 310,37.2,4,86,65,2019,16.4,1980,Japan,Datsun
Chevrolet Citation (1980),28,4,151,90,2678,16.5,1980,USA,Chevrolet
Ford Fairmont,26.4,4,140,88,2870,18.1,1980,USA,Ford
Amc Concord (1980),24.3,4,151,90,3003,20.1,1980,USA,Amc
Dodge Aspen (1980),19.1,6,225,90,3381,18.7,1980,USA,Dodge
Audi 4000,34.3,4,97,78,2188,15.8,1980,Europe,Audi
Toyota Corona Liftback,29.8,4,134,90,2711,15.5,1980,Japan,Toyota
Mazda 626 (1980),31.3,4,120,75,2542,17.5,1980,Japan,Mazda
Datsun 510 Hatchback,37,4,119,92,2434,15,1980,Japan,Datsun
Toyota Corolla (1980),32.2,4,108,75,2265,15.2,1980,Japan,Toyota
Mazda Glc,46.6,4,86,65,2110,17.9,1980,Japan,Mazda
Dodge Colt (1980),27.9,4,156,105,2800,14.4,1980,USA,Dodge
Datsun 210 (1980),40.8,4,85,65,2110,19.2,1980,Japan,Datsun
Volkswagen Rabbit C (Diesel),44.3,4,90,48,2085,21.7,1980,Europe,Volkswagen
Volkswagen Dasher (Diesel),43.4,4,90,48,2335,23.7,1980,Europe,Volkswagen
Audi 5000S (Diesel),36.4,5,121,67,2950,19.9,1980,Europe,Audi
Mercedes-Benz 240D,30,4,146,67,3250,21.8,1980,Europe,Mercedes-Benz
Honda Civic 1500 Gl,44.6,4,91,67,1850,13.8,1980,Japan,Honda
Renault Lecar Deluxe,40.9,4,85,,1835,17.3,1980,Europe,Renault
Subaru Dl (1980),33.8,4,97,67,2145,18,1980,Japan,Subaru
Vokswagen Rabbit,29.8,4,89,62,1845,15.3,1980,Europe,Vokswagen
Datsun 280-Zx,32.7,6,168,132,2910,11.4,1980,Japan,Datsun
Mazda Rx-7 Gs,23.7,3,70,100,2420,12.5,1980,Japan,Mazda
Triumph Tr7 Coupe,35,4,122,88,2500,15.1,1980,Europe,Triumph
Ford Mustang Cobra,23.6,4,140,,2905,14.3,1980,USA,Ford
Honda Accelerationord (1980),32.4,4,107,72,2290,17,1980,Japan,Honda
Buick Skylark (1982),26.6,4,151,84,2635,16.4,1982,USA,Buick
Dodge Aries Wagon (Sw),25.8,4,156,92,2620,14.4,1982,USA,Dodge
Chevrolet Citation (1982),23.5,6,173,110,2725,12.6,1982,USA,Chevrolet
Plymouth Reliant (1982),30,4,135,84,2385,12.9,1982,USA,Plymouth
Toyota Starlet,39.1,4,79,58,1755,16.9,1982,Japan,Toyota
Plymouth Champ,39,4,86,64,1875,16.4,1982,USA,Plymouth
Honda Civic 1300,35.1,4,81,60,1760,16.1,1982,Japan,Honda
Subaru (1982),32.3,4,97,67,2065,17.8,1982,Japan,Subaru
Datsun 210 (1982),37,4,85,65,1975,19.4,1982,Japan,Datsun
Toyota Tercel,37.7,4,89,62,2050,17.3,1982,Japan,Toyota
Mazda Glc 4,34.1,4,91,68,1985,16,1982,Japan,Mazda
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,1982,USA,Plymouth
